id	pub_home_div	pub_draw_div	pub_away_div
15951	3.55	3.35	1.76
15956	3.10	3.40	1.88
15961	3.10	3.20	1.94
15966	3.50	3.55	1.72
15971	1.89	3.50	3.00
15976	4.20	3.40	1.62
15981	1.65	3.60	3.75
15989	2.26	3.25	2.50
15994	2.14	3.20	2.70
15999	2.24	3.30	2.50
16004	2.40	3.35	2.30
16009	2.04	3.30	2.80
16014	3.55	3.35	1.76
16019	3.10	3.40	1.88
16024	3.10	3.35	1.89
16029	3.70	3.80	1.62
16034	1.89	3.50	3.00
16039	4.20	3.40	1.62
16044	1.65	3.60	3.75
16052	3.60	2.45	2.16
16057	3.15	2.50	2.32
16062	3.45	2.65	2.07
16067	1.88	2.90	3.65
16072	3.70	2.80	1.92
16077	1.66	3.20	4.25
16082	2.34	3.10	2.50
16090	2.20	3.40	2.50
16098	2.20	3.40	2.50
16106	3.10	3.35	1.89
16114	4.60	3.65	1.52
16122	2.45	3.30	2.28
16127	3.50	3.35	1.77
16132	4.00	3.75	1.58
16137	1.82	3.60	3.10
16142	3.20	3.35	1.86
16147	2.70	3.25	2.12
16152	2.45	3.25	2.31
16157	2.26	3.25	2.50
16162	3.25	3.40	1.83
16167	2.28	3.30	2.45
16172	2.95	3.15	2.03
16177	2.00	3.35	2.85
16182	2.06	3.40	2.70
16187	1.73	3.60	3.40
16192	3.05	3.45	1.88
16200	2.70	2.90	2.30
16205	2.70	2.65	2.49
16210	2.10	2.90	3.05
16215	2.41	2.75	2.70
16220	1.92	2.95	3.45
16225	2.80	3.15	2.11
16233	2.65	3.35	2.11
16241	3.15	3.60	1.80
16249	2.65	3.55	2.04
16257	3.10	3.20	1.94
16265	2.80	3.30	2.04
16270	2.65	3.30	2.13
16275	2.05	3.35	2.75
16285	3.60	3.30	1.76
16290	3.20	3.35	1.86
16295	2.40	3.30	2.33
16300	3.50	3.35	1.77
16305	2.20	3.30	2.55
16313	2.40	3.30	2.33
16318	3.35	3.35	1.81
16323	2.14	3.35	2.60
16331	3.30	2.80	2.05
16336	2.60	2.85	2.41
16341	4.75	2.95	1.67
16346	2.37	2.80	2.70
16351	3.95	2.65	1.93
16356	1.57	3.75	4.05
16361	1.80	3.70	3.10
16369	1.95	3.75	2.70
16377	2.50	3.50	2.16
16385	2.90	3.30	1.99
16393	1.47	4.10	4.45
16401	1.87	3.35	3.15
16406	2.45	3.25	2.31
16411	3.30	3.25	1.86
16416	2.01	3.40	2.80
16421	2.10	3.30	2.70
16426	2.40	3.30	2.33
16431	2.36	3.15	2.45
16436	3.40	3.30	1.81
16441	1.91	3.35	3.05
16446	2.33	3.30	2.40
16451	2.50	3.35	2.22
16456	2.75	3.40	2.03
16461	1.83	3.40	3.25
16466	2.35	3.25	2.40
